username,url,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10
belariz2,https://www.tiktok.com/@belariz2,12200,16800,8208,2035,3460,1578,1876,1414,3709,1264
_stratisfaction,https://www.tiktok.com/@_stratisfaction,20500,559100,43900,302,533,354,675,506,610,401
ikobonbon,https://www.tiktok.com/@ikobonbon,1849,174,127,117,178,165,84,474,299,231
xclusiverama,https://www.tiktok.com/@xclusiverama,1273,1754,201600,838,632,415,643,416,604,735
meipretty20,https://www.tiktok.com/@meipretty20,3487,99,409,403,274,290,290,233,315,314
judyvance,https://www.tiktok.com/@judyvance,255,175,371,27,34,82,286,239,314,339
padresophia,https://www.tiktok.com/@padresophia,462500,450600,652200,2199,7389,4609,22700,16300,11400,15000
kristinervbb,https://www.tiktok.com/@kristinervbb,676400,1900000,739300,891,7837,5100,12700,5310,1300000,246100
marchelin._,https://www.tiktok.com/@marchelin._,187500,61500,178500,408,441,1380,324,462,538,1018
vibes.demure,https://www.tiktok.com/@vibes.demure,2,94,108,126,111,104,102,101,4669,47
jneyy03,https://www.tiktok.com/@jneyy03,47700,1227,768,118,110,133,204,247,253,195
amira.bessette,https://www.tiktok.com/@amira.bessette,16800,5960,5556,13100,18300,23100,15700,13100,32900,35000
tiffanystudio,https://www.tiktok.com/@tiffanystudio,2100000,2400000,8900000,2416,16200,9206,6128,250900,7600,9807
crystaluncut,https://www.tiktok.com/@crystaluncut,331500,117700,1397,1657,1331,1560,2219,3616,5755,31700
kharisjournal,https://www.tiktok.com/@kharisjournal,4400000,3400000,6300000,458,70100,16800,15200,21500,14600,25700
lynguyn.2002,https://www.tiktok.com/@lynguyn.2002,129800,54400,13700000,56900,63100,48000,357300,240100,102700,230300
nvgallery,https://www.tiktok.com/@nvgallery,1276,1645,2670,2407,1128,1811,3223,1863,1701,3778
ladyblue_official,https://www.tiktok.com/@ladyblue_official,195600,104900,68600,11600,101700,12700,12700,30400,23800,61400
baytelhayat,https://www.tiktok.com/@baytelhayat,470,492,614,1506,930,543,542,1034,1020,14800
jasminhowell,https://www.tiktok.com/@jasminhowell,5463,5965,5564,9584,2923,1224,2728,2801,1744,5665
elegancefeed,https://www.tiktok.com/@elegancefeed,168200,39000,14300,3851,1817,40400,2138,2957,6621,3687
corinne.dumas,https://www.tiktok.com/@corinne.dumas,28600000,5900000,2600000,4895,42600,1388,3098,64100,2677,29700
oannagherman,https://www.tiktok.com/@oannagherman,16100,481,1041,678,1040,1964,1176,1410,1476,883
u.iulianiya,https://www.tiktok.com/@u.iulianiya,25200000,63000000,83700,145000,164600,3900000,7400000,182200,1000000,659600
kristinajao,https://www.tiktok.com/@kristinajao,1900000,1900000,985600,5155,1322,10300,3004,1608,2799,7911
oak.com.gr,https://www.tiktok.com/@oak.com.gr,215000,33100,681,1475,516,1720,368,1332,452,427
justoldmoneystyle,https://www.tiktok.com/@justoldmoneystyle,4500000,2100000,1800000,75300,63400,111000,77200,126900,32400,242100
garden_share,https://www.tiktok.com/@garden_share,90300,3000000,756600,3622,8075,5427,10500,3974,7588,10800
alldenims,https://www.tiktok.com/@alldenims,346,441,193,161,405,490,452,243,6905,80
mintlilly,https://www.tiktok.com/@mintlilly,117800,13100,863400,227,694,2788,2615,1724,1536,3920
lafiye.com,https://www.tiktok.com/@lafiye.com,2418,4874,7498,3678,4093,3673,6791,5257,4619,34000
vintge_vogue,https://www.tiktok.com/@vintge_vogue,2100000,1400000,2000000,21900,18600,40100,19100,36600,28900,11200
catharinaelisabethx,https://www.tiktok.com/@catharinaelisabethx,9300000,26100000,5100000,539500,124200,175600,1200000,139300,107700,597300
luxsecondchance,https://www.tiktok.com/@luxsecondchance,2054,364,2170,964,2607,912,5066,663,1285,4773
estheraguirr,https://www.tiktok.com/@estheraguirr,3400000,2100000,1500000,3421,27500,3292,2176,32500,3554,6296
shlaikova.elena,https://www.tiktok.com/@shlaikova.elena,2000000,28500000,6500000,17700,25200,60100,12800,36900,74500,40600
luxe_magazine_swiss,https://www.tiktok.com/@luxe_magazine_swiss,208,2804,848,775,824,799,788,987,912,1122
elegancemajesty,https://www.tiktok.com/@elegancemajesty,224000,3763,4353,2705,5239,32400,19100,25100,177700,13500
gabriellachallis,https://www.tiktok.com/@gabriellachallis,4479,2655,5374,790,4825,2929,435,4346,445,4726
quietluxury1,https://www.tiktok.com/@quietluxury1,159600,1200000,701500,1106,1039,6719,6197,2011,8735,3147
latim9211,https://www.tiktok.com/@latim9211,12600,44600,54700,1152,2083,869,2319,1777,5297,1507
ghost.project1,https://www.tiktok.com/@ghost.project1,8,391,199,88600,0,0,0,0,0,0
depreccants,https://www.tiktok.com/@depreccants,2400000,3800000,2800000,132400,6779,144200,171500,95500,232500,69800
askmestyle,https://www.tiktok.com/@askmestyle,2055,0,0,0,0,0,0,0,0,0
contosrelatados.1,https://www.tiktok.com/@contosrelatados.1,111,297,5205,26500,239200,40200,41700,11000,91600,3838
fieemohson,https://www.tiktok.com/@fieemohson,11,4,4,11,20,4,50,33,19,62
alrasyidlettering,https://www.tiktok.com/@alrasyidlettering,123900000,53400000,75900000,14200,27400,139900,14400,17900,12900,190600
daily.chyn,https://www.tiktok.com/@daily.chyn,4691,423000,179000,2472,2244,0,0,0,0,0
ivybasmr,https://www.tiktok.com/@ivybasmr,2400000,86300000,0,37400,113300,76600,937500,368800,237300,298100
angelagilsha.editz,https://www.tiktok.com/@angelagilsha.editz,14200,48700,203800,16200,61600,133100,64600,122900,32900,90000
faelmahathr_,https://www.tiktok.com/@faelmahathr_,434000,26800,742,845,821,3888,1423,1451,6621,1834
yesplzasmr,https://www.tiktok.com/@yesplzasmr,28200000,19500000,31200000,101200,15700,582400,422100,3900000,7000000,3000000
rizkarosarini,https://www.tiktok.com/@rizkarosarini,29700,2110,1998,269,140,305,539,745,728,458
theclwill,https://www.tiktok.com/@theclwill,0,0,2100000,9272,7803,76400,8331,9546,10000,51500
vesso.ne,https://www.tiktok.com/@vesso.ne,3300000,10200000,156900,89800,295300,50500,29900,188500,160300,549400
maaliikzz,https://www.tiktok.com/@maaliikzz,233,416,304,385,364,750,643,39400,863,6121
rasyaandhikapra69,https://www.tiktok.com/@rasyaandhikapra69,489,15,335,22,18,20,305,491,331,203
thoughtsofbabsi,https://www.tiktok.com/@thoughtsofbabsi,640500,160800,55800,4863,549,2293,494,1101,10500,7968
iniifhaaa2_,https://www.tiktok.com/@iniifhaaa2_,178,228,6512,531,407,4725,151500,981,369,897900
jakii.3,https://www.tiktok.com/@jakii.3,364,36200,5301,8463,0,0,0,0,0,0
chiikenkatsuuu,https://www.tiktok.com/@chiikenkatsuuu,223,235,211,0,0,0,0,0,0,0
dn_trisy88,https://www.tiktok.com/@dn_trisy88,999000,773000,2900000,34600,1268,103700,3599,1213,6565,752200
qoniiey,https://www.tiktok.com/@qoniiey,31200,885,446,18,278,343,430,453,352,353
katyaaaaxx,https://www.tiktok.com/@katyaaaaxx,468400,183200,3172,459100,3037,11000,1100000,809800,7585,73300
tulipfleur_,https://www.tiktok.com/@tulipfleur_,1800000,1100000,449500,764,594,914,399900,8324,1769,3205
srndm1,https://www.tiktok.com/@srndm1,7100000,193100,322,650,1270,1616,6310,710,674,1025
moonserenaa,https://www.tiktok.com/@moonserenaa,82,346,375,979,2353,2384,1147,12900,4771,10100
ohdione,https://www.tiktok.com/@ohdione,8700000,1300000,2000000,1224,1764,3031,1279,3710,12500,2313
zhnn.s.the.stars,https://www.tiktok.com/@zhnn.s.the.stars,410,301,0,0,0,0,0,0,0,0
saecaaaaa,https://www.tiktok.com/@saecaaaaa,7700000,1500000,300600,256,345,1237,459,515,451,421
maunyaapa471,https://www.tiktok.com/@maunyaapa471,394,437,2136,3331,5714,2119,4471,3760,1499,5530
upgirls.nat,https://www.tiktok.com/@upgirls.nat,2600000,906500,631900,16300,227900,64700,32700,13500,203700,17900
ayyafg,https://www.tiktok.com/@ayyafg,3400000,10300000,4700000,528700,370800,284800,130900,1700000,1100000,294000
cacayourloveee,https://www.tiktok.com/@cacayourloveee,13300,92800,29100,122800,24000,24100,39100,31100,969500,162200
lalakenn_,https://www.tiktok.com/@lalakenn_,11500000,24100000,7600000,161500,726100,222600,278600,99200,112200,1700000
decizn,https://www.tiktok.com/@decizn,2200000,1100000,3900000,1127,8771,91900,4479,979300,3456,1400000
unkn0wnnn__2,https://www.tiktok.com/@unkn0wnnn__2,717700,343,478,5598,15900,297,24900,1176,4822,34100
yelloabin,https://www.tiktok.com/@yelloabin,2700000,1600000,1600000,29400,17500,9849,3162,8184,63300,131700
laguteee,https://www.tiktok.com/@laguteee,1500000,227100,156400,576,1176,335,1235,601,6639,575
adenmanis,https://www.tiktok.com/@adenmanis,5703,361,1176,505,0,0,0,0,0,0
anothanya,https://www.tiktok.com/@anothanya,2400000,13700,3438,10800,823300,6000,0,0,0,0
ibrahimjibar_,https://www.tiktok.com/@ibrahimjibar_,34600000,32500000,27400000,230800,4100000,1000000,2000000,1100000,866600,2600000
nammsy_,https://www.tiktok.com/@nammsy_,8090,278,361,370,329,489,314,1585,274,353
kittebumz1,https://www.tiktok.com/@kittebumz1,785,373,330,358,287,216,229,269,385,474
elegantempowerment_,https://www.tiktok.com/@elegantempowerment_,482,957,799,255,148,176,256,289,163,325
gracefulguidance_1,https://www.tiktok.com/@gracefulguidance_1,2070,1644,2835,4007,1151,2741,2866,13100,6172,15800
gracefulguidance2,https://www.tiktok.com/@gracefulguidance2,11300,1200000,2193,7621,315400,4980,3974,36200,412400,3820
redrubygogo,https://www.tiktok.com/@redrubygogo,412,733,1194,397,696,240,918,1247,2112,842
graceful_agency,https://www.tiktok.com/@graceful_agency,2354,4671,915,4834,3484,380,1941,3539,534,212
user3457491951546,https://www.tiktok.com/@user3457491951546,923,913,844,594,458,874,394,405,825,946
positiv3daily,https://www.tiktok.com/@positiv3daily,156,202,202,272,169,163,160,494,147,152
thegracechon,https://www.tiktok.com/@thegracechon,139500,526,524,646,590,139,143,391,802,518
